Question,Choice1,Choice2,Choice3,Choice4
<BOS> <ALP> が 主たる 事務所 <ALP> と その他 の 事務所 <ALP> 及び <ALP> の <NUM> つ の 事務所 を 設け て 宅地 建物 取引 業 の 免許 を 受け 宅地 建物 取引 業 保証 協会 以下 この間 において 保証 協会 <ALP> と いう に 加入 しよ う と し 又は 加入 し た 場合 の 弁済 業務 保証 金 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<ALP> は 保証 協会 の 社員 たる 地位 を 失う <EOS>,<ALP> は 保証 協会 に 加入 しよ う と する 日 まで に 弁済 業務 保証 金 分担 金 <NUM> 万 円 を 保証 協会 に 納付 し なけれ ば なら ず 保証 協会 は <ALP> から 弁済 業務 保証 金 分担 金 の 納付 を 受け た 日 から <NUM> 週間 以内 に 同額 の 弁済 業務 保証 金 を 供託 し なけれ ば なら ない <EOS>,<ALP> は 保証 協会 に 加入 しよ う と する 日 まで に 弁済 業務 保証 金 分担 金 <NUM> 万 円 を 保証 協会 に 納付 し なけれ ば なら ず 保証 協会 は <ALP> から 弁済 業務 保証 金 分担 金 の 納付 を 受け た 日 から <NUM> 週間 以内 に 同額 の 弁済 業務 保証 金 を 供託 し なけれ ば なら ない <EOS>,<ALP> の 主たる 事務所 で 宅地 建物 取引 業 の 業務 に関し 取引 を し た 者 は その 取引 により 生じ た 債権 に関し <NUM> 万 円 を 限度 として 保証 協会 から 弁済 業務 保証 金 分担 金 を 返還 し た 場合 保証 協会 は 弁済 業務 保証 金 分担 金 の 額 が <NUM> 万 円 を 超える 場合 に は その 不足 が 生じ た 日 から <NUM> 週間 以内 に その 旨 を 甲 県知事 に 届け出 なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 社 が 自ら 売主 として 宅地 建物 取引 業者 で ない 買主 と の 間 で 締結 し た 土地 付 建物 の 売買 契約 について 買主 が 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 に 基づき いわゆる クーリング・オフ による 契約 の 解除 を する 場合 における 次 の 記述 の うち 誤っ て いる もの は いくつ ある か <EOS>,<ALP> は <ALP> から 買受け の 自宅 近く の レストラン で 買受け の 申 込み を し その 際 に <ALP> から クーリング・オフ について 書面 で 告げ られ 契約 を 締結 し た この 場合 <ALP> は 当該 契約 の 解除 を する こと が でき ない <EOS>,買主 <ALP> は 自ら 申し出 て 勤務 先 で 売買 契約 に関する 説明 を 受け て 買受け の 申 込み を し その 際 に <ALP> から クーリング・オフ について 何 も 告げ られ ず 翌日 <ALP> の 事務所 で 契約 を 締結 し た 場合 <ALP> は 売買 契約 を 解除 する こと が でき ない <EOS>,<ALP> は 喫茶店 で 買受け の 申込み を 受け た 場合 で あっ て も <ALP> は 売買 契約 の 解除 を する こと が でき ない <EOS>,<ALP> が 宅地 建物 取引 業者 で ない <ALP> と の 売買 契約 を 締結 し た 場合 当該 売買 契約 の 締結 に際して <ALP> に対して 違約 金 の 支払 を 請求 する こと が できる <EOS>
<BOS> <ALP> 銀行 の <ALP> に対する 貸付 債権 <NUM> 万 円 につき <ALP> が <ALP> の 委託 を 受け て 全額 について 連帯 保証 を し <ALP> 及び <ALP> は 物上 保証 人 として 自己 の 所有 する 不動産 に それぞれ 抵当 権 を 設定 し て い た 場合 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<ALP> が <ALP> に対して 債権 を 差し押さえ た 場合 <ALP> は <ALP> に対して 求償 権 を 行使 する こと が でき ない <EOS>,<ALP> の 担保 不動産 を 買い受け た 第三者 が <ALP> 銀行 に対して 債権 全額 を 弁済 し た 場合 当該 第三者 は <ALP> に対して 弁済 し た 額 の 一部 を 求償 する こと が できる <EOS>,<ALP> が <ALP> 銀行 に対して 債権 全額 について 保証 債務 を 履行 し た 場合 <ALP> は <ALP> 及び <ALP> が それぞれ <NUM> 万 円 全額 を 請求 する こと が できる <EOS>,<ALP> が <ALP> に対して 不法 行為 によって 生じ た 債権 を <ALP> に 弁済 し た 場合 <ALP> は <ALP> に対して 求償 権 を 行使 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 社 が 自ら 売主 として 宅地 建物 取引 業者 で ない 買主 <ALP> と の 間 で 締結 し た 建物 の 売買 契約 について <ALP> が 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 に 基づき いわゆる クーリング・オフ による 契約 の 解除 を する 場合 における 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> は 自ら 指定 し た レストラン で 買受け の 申 込み を し その 際 に <ALP> から クーリング・オフ について 書面 で 告げ られ 契約 を 締結 し た この 場合 <ALP> は 当該 契約 の 解除 を する こと が でき ない <EOS>,<ALP> 社 は 自ら 指定 し た 知人 の 宅地 建物 取引 業者 <ALP> は <ALP> から 当該 宅地 の 売却 について 代理 又は 媒介 の 依頼 を 受け て い ない の 事務所 で 買受け の 申 込み を し その 際 に <ALP> から クーリング・オフ について 何 も 告げ られ ず 翌日 <ALP> の 事務所 で 契約 を 締結 し た 場合 <ALP> は 売買 契約 を 解除 する こと が でき ない <EOS>,<ALP> は ホテル の ロビー において 買受け の 申 込み を し その 際 に <ALP> 社 と の 間 で クーリング・オフ による 契約 の 解除 を し ない 旨 の 特約 を し た 場合 で あっ て も <ALP> は 当該 売買 契約 を 取り消す こと が できる <EOS>,<ALP> は <ALP> から 媒介 の 依頼 を 受け た 宅地 建物 取引 業者 <ALP> に 媒介 の 依頼 を 受け た <ALP> が 代金 の <NUM> 万 円 を 受領 し た 場合 <ALP> は その <NUM> 日 後 <ALP> 社 の 事務所 で 売買 契約 を 締結 し た 場合 <ALP> は 当該 契約 を 解除 する こと が できる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 社 が 行う 業務 に関する 次 の 記述 の うち 宅地 建物 取引 業法 以下 この 問 において 法 という の 規定 に 違反 し ない もの は どれ か なお この 問 において <NUM> 条 書面 と は 法 第 <NUM> 条 の 規定 により 交付 す べき 書面 を いう もの と する <EOS>,<ALP> 社 は 自ら 売主 として 宅地 建物 取引 業者 で あっ た ため <ALP> 社 の 瑕疵 担保 責任 を 負わ ない 旨 の 特約 を 結ん だ <EOS>,<ALP> 社 は マンション の 売買 の 媒介 を し た 場合 当該 宅地 に関する 注文 が なく 売買 の 媒介 を し て い た ので 当該 宅地 に関する 引渡し を し ない とき は <ALP> は その 内容 を 説明 し なかっ た <EOS>,<ALP> 社 は 建物 の 貸借 に関し 自ら 貸主 として 契約 を 締結 し た 場合 に その 相手方 に <NUM> 条 書面 を 交付 し なかっ た <EOS>,<ALP> 社 は 宅地 建物 取引 業者 で ない 買主 <ALP> 社 の 買主 に 私道 の 売買 契約 を 締結 し た 場合 に は 当該 宅地 の 売買 契約 を 締結 し て い た 場合 <ALP> は 当該 売買 契約 を 締結 し て い た 場合 <ALP> は 当該 売買 契約 を 解除 する こと が でき ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が 甲 建物 の 売買 の 媒介 を 行う 場合 において 宅地 建物 取引 業法 第 <NUM> 条 の 規定 により 交付 す べき 書面 以下 この 問 において <NUM> 条 書面 という に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 し て い ない もの は どれ か <EOS>,<ALP> は 自ら 売主 と の 間 で 売買 契約 を 締結 し た 場合 <ALP> は 遅滞 なく 宅地 建物 取引 業者 で あっ た ので <ALP> の 承諾 を 得 て い た とき で あっ て も <ALP> は <ALP> の 売買 契約 の 成立 後 <NUM> へ の <NUM> 条 書面 を 交付 し た <EOS>,<ALP> は 宅地 建物 取引 士 を し て <NUM> 条 書面 を 作成 さ せ かつ 当該 書面 に 記名 押印 さ せ た が 買主 へ の <NUM> 条 書面 の 交付 は 宅地 建物 取引 士 で は ない <ALP> の 従業 者 に 行わ せ た <EOS>,<ALP> は あらかじめ 売主 から の 承諾 を 得 て い た ため 売買 契約 の 成立 後 における 売主 へ の <NUM> 条 書面 の 交付 を 省略 し た <EOS>,<ALP> は <ALP> から <ALP> 所有 の 宅地 の 売却 の 媒介 を 依頼 さ れ た 場合 <ALP> は 当該 建物 の 売買 契約 を 締結 し た <EOS>
<BOS> 甲 県知事 の 免許 を 受け た 宅地 建物 取引 業者 <ALP> が 乙 県内 において 業務 に関し 展示 会 を 実施 し その 場所 において 宅地 又は 建物 の 売買 契約 を 締結 する こと と し た 場合 宅地 建物 取引 業法 の 規定 に よれ ば 次 の 記述 の うち 正しい もの は いくつ ある か <EOS>,<ALP> は 当該 実施 の 日 から 起算 し て <NUM> 日 以内 に その 旨 を <ALP> に 交付 し なけれ ば なら ない <EOS>,<ALP> は 当該 場所 の 所在地 業務 内容 業務 を 行う 期間 及び 専任 の 宅地 建物 取引 士 の 氏名 を 乙 県知事 に は 届け出 なけれ ば なら ない が 甲 県知事 に は 届け出る 必要 は ない <EOS>,<ALP> は その 住所 を 変更 し た 場合 遅滞 なく 変更 の 登録 の 申請 を する こと が できる <EOS>,<ALP> が 宅地 建物 取引 業者 <ALP> に 媒介 の 依頼 を 受け た 者 <ALP> が 当該 案内 所 に 係る 取引 の 処理 状況 を <NUM> 週間 に <NUM> 回 報告 する 旨 の 届出 を し た 場合 は その 日 から <NUM> 日 以内 に その 旨 を 甲 県知事 に 届け出 なけれ ば なら ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 甲 県知事 免許 の 営業 保証 金 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 誤っ て いる もの は どれ か なお <ALP> は 甲 県内 に 本店 と 一つ の 支店 を 設置 し て 事業 を 営ん で いる もの と する <EOS>,<ALP> は 甲 県内 に 所在 する 宅地 建物 取引 業者 <ALP> に 就職 し た 場合 <ALP> は 遅滞 なく 変更 の 登録 を 申請 し なけれ ば なら ない <EOS>,<ALP> は 免許 の 有効 期間 の 満了 に 伴い 営業 保証 金 の 取戻し を する ため の 公告 を し た とき は 遅滞 なく その 旨 を 甲 県知事 に 届け出 なけれ ば なら ない <EOS>,<ALP> の 支店 で <ALP> と 宅地 建物 取引 業 に関する 取引 を し た 者 は その 取引 により 生じ た 債権 に関し <NUM> 万 円 を 限度 として <ALP> が 供託 し た 営業 保証 金 の 還付 を 請求 する こと が できる <EOS>,<ALP> は 支店 の 廃止 の 宅地 建物 取引 業 に関する 取引 により 生じ た 債権 に関し <NUM> 万 円 を 限度 として 保証 協会 から 弁済 業務 保証 金 を 取り戻し た 場合 に は その 保証 金 の 額 は <NUM> 万 円 で ある <EOS>
<BOS> <ALP> 所有 の 甲地 は 袋地 で <ALP> が 所有 し て い ない 回り の 土地 囲繞 地 を 通る 通路 を 開設 し なけれ ば 公道 に 出る こと が でき ない この 場合 民法 の 規定 及び 判例 に よれ ば 次 の 記述 の うち 正しい もの は どれ か <EOS>,<ALP> が <ALP> 及び <ALP> の 持分 を <ALP> に 売却 する 場合 <ALP> は <ALP> が <ALP> に対して 甲地 を 支払う よう 請求 できる <EOS>,<ALP> が <ALP> から 甲地 を 譲り受け た 場合 に は <ALP> は 所有 権 移転 の 登記 を 受ける こと が でき ない <EOS>,甲地 が <ALP> 所有 の 土地 を 分筆 し て <ALP> に 売却 し た 結果 袋地 に なっ た 場合 で <ALP> が 甲地 の 譲渡 後 その 残余 地 で ある 乙 地 を <ALP> に 売却 し た とき に は <ALP> は 乙 地 に 通路 を 開設 する こと が でき ない <EOS>,<ALP> が <ALP> の 承諾 を 得 て い た 場合 <ALP> は <ALP> に対して 損害 賠償 の 請求 を する こと が できる <EOS>
<BOS> <ALP> は 土地 所有 者 <ALP> から 土地 を 賃借 し その 土地 上 に 建物 を 所有 し て <ALP> に 賃貸 し て いる <ALP> の <ALP> に対する 借 賃 の 支払 債務 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<ALP> が <ALP> の 代理人 で ある 場合 <ALP> が <ALP> の 代理人 で ある こと を 知っ て い た 場合 <ALP> は <ALP> の 債権 の 消滅 時効 の 中断 の 効力 を 主張 する こと が でき ない <EOS>,<ALP> が 当 <UNK> 賃 を 額面 と する <ALP> 振出し に 係る 小切手 銀行 に 係る 金銭 債権 で は ない もの を 第三者 に 提供 し た 場合 に は <ALP> が 明 渡し た こと について 知り 得 た もの で あっ た 場合 <ALP> は <ALP> に対して <NUM> 万 円 全額 請求 を する こと が できる <EOS>,<ALP> は <ALP> から 借 賃 の <NUM> 分の <NUM> の 額 と なる <EOS>,<ALP> が <ALP> の 許諾 を 受け て い た 場合 <ALP> は <ALP> の 所有 権 を 主張 する こと が でき ない <EOS>
<BOS> 売主 を 宅地 建物 取引 業者 で ある <ALP> 買主 を 宅地 建物 取引 業者 で ない <ALP> と する 建物 の 売買 契約 において 宅地 建物 取引 業法 第 <NUM> 条 の <NUM> の 規定 に 基づく 売買 契約 の 解除 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,当該 売買 契約 の 解除 に関する 定め が ある とき でも <ALP> は その 旨 を 説明 し た が その 旨 を 説明 し なけれ ば なら ない <EOS>,<ALP> が <ALP> に対し 売買 契約 の 解除 が できる 旨 及び その 方法 について 口頭 で のみ 説明 を 行っ た 場合 当該 宅地 の 引渡し を 受け て い ない とき は <ALP> は <ALP> に 当該 宅地 を 引渡し する こと が でき ない <EOS>,売買 契約 が <ALP> の 行きつけ の 喫茶 屈 で 締結 さ れ た 場合 において <ALP> が 適法 に 解約 通知 を <ALP> の 住所 に 発送 し た に も かかわら ず 転居 先 不明 で 戻っ て き た とき は 当該 契約 の 解除 の 効力 は 生じ ない <EOS>,<ALP> は <ALP> から <ALP> の 所有 の 宅地 の 売却 の 媒介 を 依頼 さ れ た 場合 <ALP> は 当該 建物 の 売買 契約 を 締結 し て いる 場合 <ALP> は 当該 売買 契約 を 締結 し て も よい <EOS>
