Question,Choice
<BOS> <ALP> は <ALP> から 借り入れ た <NUM> 万 円 の 担保 として 第 一 順位 の 抵当 権 が 設定 さ れ て いる 甲 土地 を 所有 し て いる <ALP> は さらに <ALP> から <NUM> 万 円 の 金銭 を 借り入れ その 借入金 全額 の 担保 として 甲 土地 に 第 二 順位 の 抵当 権 を 設定 し た この 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 抵当 権 の 実行 により 甲 土地 が 競売 さ れ <NUM> 万 円 の 配当 が なさ れる 場合 <ALP> が <ALP> に 抵当 権 の 順位 を 譲渡 し て い た とき は <ALP> に <NUM> 万 円 <ALP> に <NUM> 万 円 が 配当 さ れ <ALP> が <ALP> に 抵当 権 の 順位 を 放棄 し て い た とき は <ALP> に <NUM> 万 円 <ALP> に <NUM> 万 円 が 配当 さ れる <EOS>
<BOS> 印紙 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 固 と <ALP> 社 と が 共同 で 土地 の 売買 契約 書 記載 金額 <NUM> 万 円 を <NUM> 通 作成 し 双方 で 各 <NUM> 通 保存 する 場合 <ALP> 社 が 保存 する もの に は 印紙 税 が 課税 さ れる <EOS>
<BOS> 宅地 建物 取引 業者 が 行う 広告 に関する 次 の 記述 の うち 不当 景品 類 及び 不当 表示 防止 法 不動産 の 表示 に関する 公正 競争 規約 を 含む の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 日照 その他 物件 の 環境 条件 に 影響 を 及ぼす お それ の ある 建物 の 建築 計画 が ある 場合 その 計画 が 他 の 宅地 建物 取引 業者 が 行う もの で あっ て も 自己 が 知り 得 た もの が ある 場合 に は 分譲 宅地 の パンフレット に その 旨 を 表示 し なけれ ば なら ない <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この間 において 事後 届出 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 市街化区域 に 所在 する <NUM> ㎡ の 土地 甲地 を 相続 によって 取得 し た <ALP> が 甲地 に 隣接 する <NUM> ㎡ の 土地 乙 地 を <ALP> から 購入 し た 場合 その 購入 目的 が 甲地 及び 乙 地 に またがっ て ビル を 建設 する こと で ある とき は <ALP> は 事後 届出 を 行わ なけれ ば なら ない <EOS>
<BOS> 宅地 建物 の 統計 等 に関する 次 の 記述 の うち 正しい の は どれ か 改題 <EOS>,<BOS> 平成 <NUM> 年版 土地 白書 平成 <NUM> 年 <NUM> 月 公表 に よれ ば 平成 <NUM> 年 の 売買 による 土地 所有 権 移転 登記 の 件数 は 全国 で <NUM> 万 件 と なっ て おり 対 前年 比 <NUM> % 減 と ここ 数 年 減少 が 続い て いる <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が <ALP> 所有 の 宅地 について <ALP> から 売却 の 媒介 の 依頼 を 受け <ALP> 間 に 売買 契約 を 成立 さ せ た この 場合 における 宅地 建物 取引 業法 第 <NUM> 条 の 規定 に 基づく 重要 事項 の 説明 以下 この間 において 重要 事項 の 説明 という 及び 同 法 第 <NUM> 条 の 規定 に 基づく 契約 の 内容 を 記載 し た 書面 以下 この間 において <NUM> 条 書面 という に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に 違反 する もの は どれ か <EOS>,<BOS> <ALP> は 売買 契約 が 成立 する まで の 間 に 宅地 建物 取引 士 を し て <ALP> に対して 重要 事項 の 説明 を さ せ た <EOS>
<BOS> 成年 <ALP> に は 将来 相続 人 と なる <ALP> 及び <ALP> いずれ も 法定 相続 分 は <NUM> 分の <NUM> が いる <ALP> が 所有 し て いる 甲 土地 の 処分 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が 甲 土地 全部 を <ALP> に 相続 さ せる 旨 の 有効 な 遺言 を し て 死亡 し 甲 土地 以外 の 相続 財産 について の 遺産 分割 協議 の 成立 前 に <ALP> が <ALP> の 同意 なく 甲 土地 を 第三者 <ALP> に 売却 し た 場合 特段 の 事情 が ない 限り <ALP> は <ALP> 間 の 売買 契約 を 無 権 代理 行為 に 準じ て 取り消す こと が できる <EOS>
<BOS> 建物 の 区分 所有 等 に関する 法律 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 共用 部分 の 変更 その 形状 又は 効用 の 著しい 変更 を 伴わ ない もの を 除く を する 場合 規約 で 区分 所有 者 及び 議決 権 の 各 過半数 による 集会 の 決議 を 要する 旨 定める こと が できる <EOS>
<BOS> 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 は その 主たる 事務所 に 従事 する 唯一 の 成年 者 で ある 専任 の 宅地 建物 取引 士 が 退職 し た とき は <NUM> 日 以内 に 必要 な 措置 を 執ら なけれ ば 監督 処分 の 対象 と なる <EOS>
<BOS> 宅地 建物 取引 業 保証 協会 以下 この間 において 保証 協会 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 は 保証 協会 に 加入 しよ う と する 日 まで に 弁済 業務 保証 金 分担 金 を 主たる 事務所 の もより の 供託 所 に 供託 し なけれ ば なら ない <EOS>
<BOS> 時効 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> が <ALP> に対して 有する 貸金 債権 を 担保 する ため <ALP> が <ALP> 所有 の 土地 に 抵当 権 を 設定 し て い た 場合 で <ALP> が <ALP> に対して <ALP> の 債権 の 存在 を 認め た とき は <ALP> の 債権 の 消滅 時効 は 中断 する <EOS>
<BOS> 建築 物 に関する 次 の 記述 の うち 最も 不 適当 な もの は どれ か <EOS>,<BOS> 鉄筋コンクリート 造 において 構造 耐力 上 主要 な 部分 で ある 柱 について は 主筋 は <NUM> 本 以上 と し 主筋 と 帯 筋 は 緊結 し なけれ ば なら ない <EOS>
<BOS> 建物 賃貸借 契約 以下 この 問 において 契約 という の 終了 に関する 次 の 記述 の うち 借地 借家 法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 期間 の 定め の ない 契約 において 賃貸 人 が 解約 の 申入れ を し た とき で その 通知 に 借地 借家 法 第 <NUM> 条 に 定める 正当 事由 が ある 場合 は 解約 の 申入れ の 日 から <NUM> 月 を 経過 し た 日 に 契約 は 終了 する <EOS>
<BOS> 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 は その 主たる 事務所 に 宅地 建物 取引 業者 免許 証 を 掲げ なく とも 国土 交通 省令 に 定める 標識 を 掲げれ ば よい <EOS>
<BOS> 建築 物 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 枠組 壁 工法 ツーバイフォー 工法 は 耐震 性 に 劣っ て いる ため <NUM> 階 建て に する こと は でき ない <EOS>
<BOS> 宅地 建物 取引 業法 の 規定 に 基づく 監督 処分 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 乙 県知事 は 宅地 建物 取引 業者 <ALP> 社 丙 県知事 免許 の 乙 県 の 区域 内 における 業務 に関し <ALP> 社 に対して 業務 停止 処分 を し た 場合 は 乙 県 に 備える <ALP> 社 に関する 宅地 建物 取引 業者 名簿 へ その 処分 に 係る 年月日 と 内容 を 記載 し なけれ ば なら ない <EOS>
<BOS> 建築 基準 法 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 建築 物 の 壁 は 地盤 面 下 の 部分 について も 壁面 線 を 越え て 建築 し て は なら ない <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> の 業務 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は いくつ ある か なお 本間 において 確認 と は 建築 基準 法 第 <NUM> 条 第 <NUM> 項 の 確認 を いう もの と する <EOS>,<BOS> <ALP> は その 業務 に関して 広告 を する とき は 当該 広告 に 係る 宅地 の 所在 について 著しく 事実 に 相違 する 表示 を し て は なら ず 当該 規制 の 対象 と なる 広告 の 媒体 は 新間 の 折込 チラシ 配布 用 の チラシ 新聞 雑誌 テレビ ラジオ 又は インターネット の ホームページ 等 種類 を 問わ ない <EOS>
<BOS> 宅地 建物 取引 士 資格 登録 以下 この 問 において 登録 という 及び 宅地 建物 取引 士 証 以下 この 問 において 宅 建 取引 士 証 という に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 丙 県知事 から 宅 建 取引 士 証 の 交付 を 受け て いる 宅 建 取引 士 が 宅 建 取引 士 証 の 有効 期間 の 更新 を 受けよ う と する とき は 丙 県知事 に 申請 し その 申請 前 <NUM> 月 以内 に 行わ れる 国土 交通 大臣 の 指定 する 講習 を 受講 し なけれ ば なら ない <EOS>
<BOS> <NUM> 戸 の 専有 部分 が あり それぞれ 異なる 区分 所有 者 が 所有 し て いる 甲 マンション において 集会 の 招集 又は 決議 に 必要 と さ れる 区分 所有 者 の 数 に関する 次 の 記述 の うち 建物 の 区分 所有 等 に関する 法律 の 規定 に よれ ば 誤っ て いる もの は どれ か なお 規約 に 別段 の 規定 は ない もの と する <EOS>,<BOS> 規約 を 設定 する ため の 集会 の 決議 に 必要 な 区分 所有 者 の 数 は <NUM> 以上 で ある <EOS>
<BOS> 次 の <NUM> から <NUM> まで の 記述 の うち 民法 の 規定 及び 下記 判決 文 に よれ ば 誤っ て いる もの は どれ か 判決 文 < <ALP> /> 期間 の 定め の ある 建物 の 賃貸借 において 賃借 人 の ため に 保証 人 が 賃貸 人 と の 間 で 保証 契約 を 締結 し た 場合 に は 反対 の 趣旨 を うかがわ せる よう な 特段 の 事情 の ない 限り 保証 人 が 更新 後 の 賃貸借 から 生ずる 賃借 人 の 債務 について も 保証 の 責め を 負う 趣旨 で 合意 が さ れ た もの と 解する の が 相当 で あり 保証 人 は 賃貸 人 において 保証 債務 の 履行 を 請求 する こと が 信義 則 に 反する と 認め られる 場合 を 除き 更新 後 の 賃貸借 から 生ずる 賃借 人 の 債務 について も 保証 の 責め を 免れ ない と いう べき で ある <EOS>,<BOS> 期間 の 定め の ある 建物 の 賃貸借 の 賃借 人 の ため の 保証 人 が 更新 後 の 賃借 人 の 債務 について も 保証 の 責任 を 負う 場合 更新 後 の 未 払賃 料 について 保証 人 の 責任 は 及ぶ もの の 更新 後 に 賃借 人 が 賃借 し て いる 建物 を 故意 又は 過失 によって 損傷 さ せ た 場合 の 損害 賠償 債務 に は 保証 人 の 責任 は 及ば ない <EOS>
<BOS> 農地 法 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 農業 者 が 駐車 場 に 転用 する 目的 で 市街化区域 内 の 農地 を 取得 する 場合 あらかじめ 農業 委員 会 に 届出 を すれ ば 農地 法 第 <NUM> 条 第 <ALP> 項 の 許可 を 受ける 必要 は ない <EOS>
<BOS> 宅地 建物 取引 業法 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 宅地 建物 取引 業者 は その 業務 上 取り扱っ た こと について 知り 得 た 秘密 について は 宅地 建物 取引 業 を 営ま なく なっ た 後 で あれ ば 正当 な 理由 が ない 場合 で あっ て も 他 に 漏らし て 構わ ない <EOS>
<BOS> 次 の 者 の うち 宅地 建物 取引 業 の 免許 を 受ける こと が でき ない 者 は どれ か <EOS>,<BOS> <ALP> 一 一 <NUM> 年 前 に <NUM> 条 名誉 駿 損 の 罪 を 犯し た として 懲役 <NUM> 年 執行 猶予 <NUM> 年 の 判決 を 受け その 取消し を 受ける こと なく 執行 猶予 期間 を 満了 し た <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> が <ALP> 所有 の 宅地 の 売却 の 媒介 の 依頼 を 受け <ALP> と 媒介 契約 を 締結 し た 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は いくつ ある か <EOS>,<BOS> 媒介 契約 が 専任 媒介 契約 以外 の 一般 媒介 契約 で ある 場合 <ALP> は 契約 の 相手方 を 探索 する ため 当該 宅地 について 指定 流通 機構 に 登録 する こと が でき ない <EOS>
<BOS> <ALP> は <ALP> と の 間 で 平成 <NUM> 年 <NUM> 月 に <ALP> が <ALP> から 借り て いる 土地 上 の <ALP> 所有 の 建物 について 賃貸借 契約 期間 <NUM> 年 を 締結 し 引渡し を 受け 債務 不履行 を する こと なく 占有 使用 を 継続 し て いる この 場合 に関する 次 の 記述 の うち 民法 及び 借地 借家 法 の 規定 並びに 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 平成 <NUM> 年 <NUM> 月 に 借地 権 が 存続 期間 の 満了 により 終了 し <ALP> が 建物 を 退去 し 土地 を 明け渡さ なけれ ば なら なく なっ た とき は <ALP> が 借地 権 の 存続 期間 が 満了 する こと を その <NUM> 年 前 まで に 知ら なかっ た 場合 に 限り 裁判所 は <ALP> の 請求 により <ALP> が それ を 知っ た 日 から <NUM> 年 を 超え ない 範囲 内 において 土地 の 明 渡し につき 相当 の 期限 を 許 与する こと が できる <EOS>
<BOS> 不動産 登記 に 係る 登録 免許 税 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 土地 の 所有 権 の 移転 登記 に 係る 登録 免許 税 の 税率 は 移転 の 原因 に かかわら ず 一律 で ある <EOS>
<BOS> 次 の <NUM> から <NUM> まで の 記述 の うち 民法 の 規定 判例 及び 下記 判決 文 に よれ ば 明らか <ALP> こ 誤っ て いる もの は どれ か 判決 文 土地 区画 整理 法 の 規定 に よれ ば 土地 区画 整理 組合 が 施行 する 土地 区画 整理 事業 の 施行 地区 内 の 土地 について 所有 権 を 取得 し た 者 は 全て その 組合 の 組合 員 と さ れる ところ 土地 区画 整理 組合 は その 事業 に 要する 経費 に 充てる ため 組合 員 に 賦課 金 を 課する こと が できる と さ れ て いる の で あっ て 上記 土地 の 売買 において は 買主 が 売買 後 に 土地 区画 整理 組合 から 賦課 金 を 課さ れる 一般 的 ・ 抽象 的 可能 性 は 常に 存在 し て いる もの で ある したがって 本件 各 売買 の 当時 買主 ら が 賦課 金 を 課さ れる 可能 性 が 存在 し て い た こと を もっ て 本件 各 土地 が 本件 各 売買 において 予定 さ れ て い た 品質 ・ 性能 を 欠い て い た という こと は でき ず 本件 各 土地 に 民法 第 <NUM> 条 に いう 瑕疵 が ある という こと は でき ない <EOS>,<BOS> 土地 区画 整理 組合 が 施行 する 土地 区画 整理 事業 の 施行 地区 内 の 土地 の 売買 の 当時 賦課 金 が 発生 する 可能 性 が 存在 し て い た こと を もっ て 当該 土地 に は 取 庇 が ある と 解する の が 相当 で ある <EOS>
<BOS> 宅地 建物 取引 業者 <ALP> 甲 県知事 免許 の 営業 保証 金 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 家主 <ALP> は 居住 用 建物 の 賃貸 の 管理 委託 契約 を <ALP> と 締結 し て い た が <ALP> が 借主 から 収受 し た 家賃 を 約束 期日 が 過ぎ て も <ALP> に 支払わ なかっ た この 場合 <ALP> は <ALP> が 供託 し た 営業 保証 金 から その 債権 の 弁済 を 受ける 権利 を 有する <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この間 において 事後 届出 という に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> が 所有 する 市街化区域 内 に 所在 する 面積 <NUM> ㎡ の 土地 と <ALP> が 所有 する 市街 化 調整 区域 内 に 所在 する 面積 <NUM> ㎡ の 土地 を 金銭 の 授受 を 伴わ ず に 交換 する 契約 を 締結 し た 場合 <ALP> とも に 事後 届出 を する 必要 が ある <EOS>
<BOS> 国土 交通 大臣 の 免許 を 受け た 宅地 建物 取引 業者 <ALP> の 営業 保証 金 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> は 営業 保証 金 を 供託 し その 旨 を 国土 交通 大臣 に 届け出 た 後 で なけれ ば 事業 を 開始 する こと が でき ない が これ に 違反 し た とき でも 罰則 の 適用 を 受ける こと は ない <EOS>
<BOS> 不動産 取得 税 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 不動産 取得 税 の 課税 標準 と なる べき 額 が 土地 の 取得 に あっ て は <NUM> 万 円 家屋 の 取得 の うち 建築 に 係る もの に あっ て は 一 戸 につき <NUM> 万 円 その他 の もの に あっ て は 一 戸 につき <NUM> 万 円 に 満た ない 場合 において は 不動産 取得 税 は 課税 さ れ ない <EOS>
<BOS> 宅地 建物 の 統計 等 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 建築 着工 統計 国土 交通省 に よれ ば 平成 <NUM> 年度 の 新設 住宅 着工 戸数 は 約 <NUM> 万 戸 で 対 前年度 比 で は <NUM> % 減 と なっ た <EOS>
<BOS> <ALP> 所有 の 甲 建物 につき <ALP> が 建築 中 の 家屋 が 完成 する まで の 一時 的 な 居住 を 目的 として 使用 貸借 契約 を 締結 する 場合 と <ALP> が 一時 使用 目的 で は なく 賃料 月額 <NUM> 万 円 で 賃貸借 契約 を 締結 する 場合 に関する 次 の 記述 の うち 民法 及び 借地 借家 法 の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> が 死亡 する と 使用 貸借 契約 は 終了 する ので 使用 借 権 は <ALP> の 相続 人 に 相続 さ れ ない の に対し <ALP> が 死亡 し て も 賃貸借 契約 は 終了 せ ず 賃借 権 は <ALP> の 相続 人 に 相続 さ れる <EOS>
<BOS> 宅地 建物 取引 業者 が 提供 する 景品 類 に関する 次 の 記述 の うち 不当 景品 類 及び 不当 表示 防止 法 不動産 業 における 景品 類 の 提供 の 制限 に関する 公正 競争 規約 以下 公正 競争 規約 と いう を 含む の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 新築 分譲 マンション を 販売 する に当たり マンション の モデルルーム へ の 来訪 者 先着 <NUM> 名 に <NUM> 円 硬貨 購入 者 全員 に <NUM> 円 札 の つかみ取り が できる と する 企画 を 実施 する 場合 最高 <NUM> 万 円 まで 提供 する こと が できる <EOS>
<BOS> 親権 及び 後見 に関する 次 の 記述 の うち 民法 の 規定 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> 父 又は 母 による 親権 の 行使 が 困難 又は 不 適当 で ある こと により 子 の 利益 を 害する とき は 家庭 裁判所 は 子 の 請求 により その 父 又は 母 について <NUM> 年 以内 の 期間 を 定め て 親権 停止 の 審判 を する こと が できる <EOS>
<BOS> 建築 物 に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> 構造 耐力 上 主要 な 部分 で ある 柱 筋 かい 及び 土台 の うち 地面 から <NUM> <ALP> 以内 の 部分 に は しろ あり その他 の 虫 による 害 を 防ぐ ため の 措置 を 講ずる とともに 必要 に 応じ て 有効 な 防腐 措置 を 講じ なけれ ば なら ない <EOS>
<BOS> 国土 利用 計画 法 第 <NUM> 条 の 届出 以下 この間 において 事後 届出 という に関する 次 の 記述 の うち 正しい もの は どれ か <EOS>,<BOS> <ALP> が 所有 する 市街 化 調整 区域 内 の <NUM> 凶 の 土地 について <ALP> が 購入 する 旨 の 予約 を し た 場合 <ALP> は 当該 予約 を し た 日 から 起算 し て <NUM> 週間 以内 に 事後 届出 を 行わ なけれ ば なら ない <EOS>
<BOS> 不動産 の 鑑定 評価 に関する 次 の 記述 の うち 不動産 鑑定 評価 基準 に よれ ば 正しい もの は どれ か <EOS>,<BOS> 収益 還元 法 は 対象 不動産 が 将来 生み出す で あろ う と 期待 さ れる 純 収益 の 現在 価値 の 総和 を 求める こと により 対象 不動産 の 試算 価格 を 求める 手法 で ある ため 自 用 の 不動産 に は 適用 する こと は でき ない <EOS>
<BOS> <ALP> は 自己 所有 の 甲 建物 居住 用 を <ALP> に 賃貸し 引渡し も 終わり 敷金 <NUM> 万 円 を 受領 し た この 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 誤っ て いる もの は どれ か <EOS>,<BOS> <ALP> が 甲 建物 を <ALP> に 譲渡 し 所有 権 移転 登記 を 経 た 場合 <ALP> の 承諾 が なく とも 敷金 が 存在 する 限度 において 敷金 返還 債務 は <ALP> から <ALP> に 承継 さ れる <EOS>
<BOS> 建物 の 区分 所有 等 に関する 法律 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 占有 者 は 区分 所有 者 が 規約 及び 集会 の 決議 に 基づい て 負う 義務 と 同一 の 義務 を 負う こと から 規約 で 定め られ た 管理 費 の 支払い 義務 を 負担 し なけれ ば なら ない <EOS>
<BOS> 都市 計画 法 に関する 次 の 記述 の うち 誤っ て いる もの は どれ か <EOS>,<BOS> 開発 許可 を 申請 しよ う と する 者 は あらかじめ 開発 行為 又は 開発 行為 に関する 工事 により 設置 さ れる 公共 施設 を 管理 する こと と なる 者 と 協議 し その 同意 を 得 なけれ ば なら ない <EOS>
<BOS> <ALP> が 妻 <ALP> と 嫡出 子 <ALP> 弟 <ALP> を 残し て 死亡 し た 場合 に関する 次 の 記述 の うち 民法 の 規定 及び 判例 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> が 死亡 する <NUM> カ月 前 に 遺産 の 一部 で ある 土地 を 第三者 <ALP> に 贈与 し それ が <ALP> の 遺留分 を 侵害 し て い た ため <ALP> が <ALP> に対し 遺留分 の 減殺 を 請求 し た 場合 でも <ALP> が 土地 の 占有 を 続け 取得 時効 が 完成 し た とき は <ALP> は 土地 の 全部 の 所有 権 を 取得 する <EOS>
<BOS> 取引 主任 者 <ALP> 甲 県知事 登録 は 宅地 建物 取引 業者 <ALP> 国土 交通 大臣 免許 の 甲 県内 の 事務所 に 勤務 し て い た が <ALP> の 乙 県内 の 事務所 に 専任 の 取引 主任 者 として 業務 に 従事 する こと に なり 住所 を 乙 県 に 移転 し た この 場合 に関する 次 の 記述 の うち 宅地 建物 取引 業法 の 規定 に よれ ば 正しい もの は どれ か <EOS>,<BOS> <ALP> は 取引 主任 者 証 の 書換え 交付 を 甲 県知事 に 申請 する 必要 は ない が 変更 の 登録 の 申請 を し なけれ ば なら ない <EOS>
