Q_MAIN,ANS1,ANS2,ANS3,ANS4,ANS
宅地建物取引業者Ａ社による投資用マンションの販売の勧誘に関する次の記述のうち、宅地建物取引業法の規定に違反するものはいくつあるか。,Ａ社の従業員は、勧誘に先立ってＡ社の商号及び自らの氏名を告げてから勧誘を行ったが、勧誘の目的が投資用マンションの売買契約の締結である旨を告げなかった。,Ａ社の従業員は、「将来、南側に５階建て以上の建物が建つ予定は全くない｡」と告げ、将来の環境について誤解させるべき断定的判断を提供したが、当該従業員には故意に誤解させるつもりはなかった。,Ａ社の従業員は、勧誘の相手方が金銭的に不安であることを述べたため、売買代金を引き下げ、契約の締結を誘引した。,Ａ社の従業員は、勧誘の相手方から、「午後３時に訪問されるのは迷惑である｡」と事前に聞いていたが、深夜でなければ迷惑にはならないだろうと判断し、午後３時に当該相手方を訪問して勧誘を行った。,3
宅地建物取引業者Ａが行う業務に関する次の記述のうち、宅地建物取引業法の規定に違反しないものはどれか。,Ａは、買主Ｂとの間で建物の売買契約を締結する当日、Ｂが手付金を一部しか用意できなかったため、やむを得ず、残りの手付金を複数回に分けてＢから受領することとし、契約の締結を誘引した。,Ａの従業者は、投資用マンションの販売において、相手方に事前の連絡をしないまま自宅を訪問し、その際、勧誘に先立って、業者名、自己の氏名、契約締結の勧誘が目的である旨を告げた上で勧誘を行った。,Ａの従業者は、マンション建設に必要な甲土地の買受けに当たり、甲土地の所有者に対し、電話により売買の勧誘を行った。その際、売却の意思は一切ない旨を告げられたが、その翌日、再度の勧誘を行った。,Ａの従業者は、宅地の売買を勧誘する際、相手方に対して「近所に幹線道路の建設計画があるため、この土地は将来的に確実に値上がりする」と説明したが、実際には当該建設計画は存在せず、当該従業者の思い込みであったことが判明した。,2
宅地建物取引業法（以下この問において「法」という。）に規定する「事務所」に関する次の記述のうち、法の規定によれば、誤っているものはどれか。,「事務所」とは、本店又は支店やその他の政令で定めるものを指すものであるが、宅地建物取引業を行わず他の兼業業務のみを行っている支店は「事務所」に含まれない。,新たに宅地建物取引業の免許を受けようとする者は、免許を受ける前に営業保証金を主たる「事務所」のもよりの供託所に供託しなければならない。,宅地建物取引業者は、その「事務所」だけでなく国土交通省令で定める場所ごとに一定の専任の宅建取引士を置かなければならないが、これに抵触することとなった場合は、2週間以内に必要な措置を執らなければならない。,宅地建物取引業者が自ら売主となる宅地の売買契約について、当該宅地建物取引業者の「事務所」において契約の申込み及び締結をした買主は、法第37条の2の規定による売買契約の解除をすることはできない。,2
宅地建物取引業者A（甲県知事免許）が、売主である宅地建物取引業者B（甲県知事免許）から、120戸の分譲マンションの販売代理を一括して受け、当該マンションの所在する場所以外の場所にモデルルームを設けて、売買契約の申込みを受ける場合、宅地建物取引業法の規定によれば、次の記述のうち誤っているものはどれか。なお、当該マンション及びモデルルームは甲県内に所在するものとする。,Aは、モデルルームに自己の標識を掲示する必要があるが、Bは、その必要はない。,Aは、マンションの所在する場所に自己の標識を掲示する必要があるが、Bは、その必要はない。,Aは、モデルルームの場所について、甲県知事に届け出る必要があるが、Bは、その必要はない。,Aは、モデルルームに成年者である専任の宅建取引士を置く必要があるが、Bは、その必要はない。,2
次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者は、その業務に関して、国土交通省令に定める事項を記載した帳簿を一括して主たる事務所に備え付ければよい。,宅地建物業取引業者の従業者である宅建取引士は、取引の関係者から従業者証明書の提示を求められたときは、この証明書に代えて宅地建物取引士証を提示すればよい。,宅地建物取引業者は、国土交通省令に定める事項を記載した従業者名簿を、最終の記載をした日から5年間保存すればよい。,宅地建物取引業者は、その主たる事務所に宅地建物取引業者免許証を掲げなくとも、国土交通省令に定める標識を掲げればよい。,4
宅地建物取引業者A（甲県知事免許）が甲県に建築した一棟100戸建てのマンションを、宅地建物取引業者B（国土交通大臣免許）に販売代理を依頼し、Bが当該マンションの隣地（甲県内）に案内所を設置して契約を締結する場合、宅地建物取引業法（以下この問において「法」という。）の規定によれば、次の記述のうち正しいものはどれか。,A及びBは当該マンションの所在する場所について、法第50条第1項に規定する標識をそれぞれ掲示しなければならない。,A及びBはその案内所について、それぞれの法第50条第1項に規定する標識に専任の宅建取引士の氏名を記載しなければならない。,Bはその案内所に、業務に従事する者5人につき、専任の宅建取引士を1人置かなければならない。,Bは法第50条第2項で定める届出を、その案内所の所在地を管轄する甲県知事及び甲県知事を経由して国土交通大臣に、業務を開始する10日前までにしなければならない。,4
次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、この問において、契約行為等とは、宅地若しくは建物の売買若しくは交換の契約（予約を含む。）若しくは宅地若しくは建物の売買、交換若しくは貸借の代理若しくは媒介の契約を締結し、又はこれらの契約の申込みを受けることをいう。,宅地建物取引業者が一団の宅地の分譲を行う案内所において契約行為等を行う場合、当該案内所には国土交通大臣が定めた報酬の額を掲示しなければならない。,他の宅地建物取引業者が行う一団の建物の分譲の媒介を行うために、案内所を設置する宅地建物取引業者は、当該案内所に、売主の商号又は名称、免許証番号等を記載した国土交通省令で定める標識を掲示しなければならない。,宅地建物取引業者は、事務所以外の継続的に業務を行うことができる施設を有する場所においては、契約行為等を行わない場合であっても、専任の宅建取引士を１人以上置くとともに国土交通省令で定める標識を掲示しなければならない。,宅地建物取引業者は、業務に関して展示会を実施し、当該展示会場において契約行為等を行おうとする場合、当該展示会場の従業者数５人に対して１人以上の割合となる数の専任の宅建取引士を置かなければならない。,2
宅地建物取引業者A社（甲県知事免許）がマンション（１００戸）を分譲する場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはいくつあるか。,A社が宅地建物取引業者B社にマンションの販売代理を一括して依頼する場合、B社が設置する案内所について、A社は法第５０条第２項の規定に基づく業務を行う場所の届出を行わなければならない。,A社は、売買契約の締結をせず、契約の申込みの受付も行わない案内所を設置する場合、法第５０条第１項に規定する標識を掲示する必要はない。,A社がマンションの分譲のために案内所を乙県に設置する場合には、業務を開始する日の１０日前までに、乙県知事に法第５０条第２項の規定に基づく業務を行う場所の届出を行わなければならない。,,1
宅地建物取引業者Ａ社（国土交通大臣免許）が行う宅地建物取引業者Ｂ社（甲県知事免許）を売主とする分譲マンション（100戸）に係る販売代理について、Ａ社が単独で当該マンションの所在する場所の隣地に案内所を設けて売買契約の締結をしようとする場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものの組合せはどれか。なお、当該マンション及び案内所は甲県内に所在するものとする。,Ａ社は、マンションの所在する場所に法第50条第1項の規定に基づく標識を掲げなければならないが、Ｂ社は、その必要がない。,Ａ社が設置した案内所について、売主であるＢ社が法第50条第2項の規定に基づく届出を行う場合、Ａ社は当該届出をする必要がないが、Ｂ社による届出書については、Ａ社の商号又は名称及び免許証番号も記載しなければならない。,Ａ社は、成年者である専任の宅建取引士を当該案内所に置かなければならないが、Ｂ社は、当該案内所に成年者である専任の宅建取引士を置く必要がない。,Ａ社は、当該案内所に法第50条第1項の規定に基づく標識を掲げなければならないが、当該標識へは、Ｂ社の商号又は名称及び免許証番号も記載しなければならない。,3
宅地建物取引業者Ａ（甲県知事免許）が乙県内に建設したマンション（100戸）の販売について、宅地建物取引業者Ｂ（国土交通大臣免許）及び宅地建物取引業者Ｃ（甲県知事免許）に媒介を依頼し、Ｂが当該マンションの所在する場所の隣接地（乙県内）に、Ｃが甲県内にそれぞれ案内所を設置し、売買契約の申込みを受ける業務を行う場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、誤っているものはどれか。,Ｂは国土交通大臣及び乙県知事に、Ｃは甲県知事に、業務を開始する日の10日前までに法第50条第2項に定める届出をしなければならない。,Ａは、法第50条第2項に定める届出を甲県知事及び乙県知事へ届け出る必要はないが、当該マンションの所在する場所に法第50条第1項で定める標識を掲示しなければならない。,Ｂは、その設置した案内所の業務に従事する者の数５人に対して１人以上の割合となる数の専任の取引士を当該案内所に置かなければならない。,Ａは、Ｃが設置した案内所においてＣと共同して契約を締結する業務を行うこととなった。この場合、Ａが当該案内所に専任の取引士を設置すれば、Ｃは専任の取引士を設置する必要はない。,3
次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,宅地建物取引業者は、その事務所ごとに従業者名簿を備えなければならず、当該名簿を最終の記載をした日から5年間保存しなければならない。,宅地建物取引業者は、従業者を業務に従事させる際に、その従業者であることを証する証明書を携帯させなければならないが、当該証明書を携帯させなかった場合でも、業務停止処分を受けることはない。,宅地建物取引業者は、その事務所ごとに、その業務に関する帳簿を備え、宅地建物取引業に関し取引のあったつど、その年月日、その取引に係る宅地又は建物の所在及び面積その他の事項を記載しなければならない。,宅地建物取引業者は、一団の宅地の分譲を行う案内所において宅地の売買の契約の締結を行わない場合には、その案内所に国土交通省令で定める標識を掲示しなくてもよい。,3
宅地建物取引業法に規定する宅地建物取引士証（以下この問において「宅建取引士証」という。）、従業者証明書、従業者名簿、帳簿及び標識に関する次の記述のうち、誤っているものはどれか。,宅地建物取引業者の従業者は、宅地建物取引業者が発行する従業者証明書をその業務に従事する間、常に携帯し、取引の関係者から請求があったときは、従業者証明書を提示しなければならないが、従業者が宅建取引士である場合は、宅建取引士証の提示をもってこれに代えることができる。,宅地建物取引業者は、その事務所ごとに従業者名簿を備え、取引の関係者から請求があったときは、当該名簿をその者の閲覧に供しなければならないが、当該名簿を事務所のパソコンのハードディスクに記録し、ディスプレイの画面に表示する方法で閲覧に供することもできる。,宅地建物取引業者は、その事務所ごとにその業務に関する帳簿を備え、取引のあったつど、所定の事項を記載しなければならないが、当該帳簿の記載事項を事務所のパソコンのハードディスクに記録し、必要に応じ当該事務所においてパソコンやプリンタを用いて紙面に印刷することが可能な環境を整えることで、当該帳簿への記載に代えることができる。,宅地建物取引業者は、売主として一団の宅地建物の分譲を当該物件から約500m 離れた駅前に案内所を設置して行う場合、当該物件の所在する場所及び案内所のそれぞれに、免許証番号、主たる事務所の所在地等の所定の事項を記載した標識を掲示しなければならない。,1
次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者は、販売予定の戸建住宅の展示会を実施する際、会場で売買契約の締結や売買契約の申込みの受付を行わない場合であっても、当該会場内の公衆の見やすい場所に国土交通省令で定める標識を掲示しなければならない。,宅地建物取引業者は、その事務所ごとに、その業務に関する帳簿を備え、取引の関係者から請求があったときは、閲覧に供しなければならない。,宅地建物取引業者は、主たる事務所には、設置しているすべての事務所の従業者名簿を、従たる事務所には、その事務所の従業者名簿を備えなければならない。,宅地建物取引業者は、その業務に従事させる者に、従業者証明書を携帯させなければならないが、その者が非常勤の役員や単に一時的に事務の補助をする者である場合には携帯をさせなくてもよい。,1
次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者の従業者である宅建取引士は、取引の関係者から事務所で従業者証明書の提示を求められたときは、この証明書に代えて従業者名簿又は宅地建物取引士証を提示することで足りる。,宅地建物取引業者がその事務所ごとに備える従業者名簿には、従業者の氏名、生年月日、当該事務所の従業者となった年月日及び当該事務所の従業者でなくなった年月日を記載することで足りる。,宅地建物取引業者は、一団の宅地の分譲を案内所を設置して行う場合、業務を開始する日の10日前までに、その旨を免許を受けた国土交通大臣又は都道府県知事及び案内所の所在地を管轄する都道府県知事に届け出なければならない。,宅地建物取引業者は、その事務所ごとに、その業務に関する帳簿を備え、宅地建物取引業に関し取引のあった月の翌月10日までに、一定の事項を記載しなければならない。,3
次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはいくつあるか。,不当な履行遅延の禁止（法第44条）は、宅地若しくは建物の登記若しくは引渡し又は取引に係る対価の支払を対象とするのみである。,宅地建物取引業者は、個人情報の保護に関する法律第2条第３項に規定する個人情報取扱事業者に該当しない場合、業務上取り扱った個人情報について、正当な理由なく他に漏らしても、秘密を守る義務（法第45条）に違反しない。,宅地建物取引業者は、その事務所ごとに、従業者名簿を備えなければならず、当該名簿については最終の記載をした日から10年間保存しなければならない。,宅地建物取引業者は、その事務所ごとに、その業務に関する帳簿を備えなければならず、帳簿の閉鎖後５年間（当該宅地建物取引業者が自ら売主となる新築住宅に係るものにあっては10年間）当該帳簿を保存しなければならない。,3
宅地建物取引業法の規定によれば、次の記述のうち、正しいものはどれか。,宅地建物取引業者は、その事務所ごとにその業務に関する帳簿を備えなければならないが、当該帳簿の記載事項を事務所のパソコンのハードディスクに記録し、必要に応じ当該事務所においてパソコンやプリンターを用いて紙面に印刷することが可能な環境を整えていたとしても、当該帳簿への記載に代えることができない。,宅地建物取引業者は、その主たる事務所に、宅地建物取引業者免許証を掲げなくともよいが、国土交通省令で定める標識を掲げなければならない。,宅地建物取引業者は、その事務所ごとに、その業務に関する帳簿を備え、宅地建物取引業に関し取引のあった月の翌月1日までに、一定の事項を記載しなければならない。,宅地建物取引業者は、その業務に従事させる者に、従業者証明書を携帯させなければならないが、その者が宅建取引士で宅地建物取引士証を携帯していれば、従業者証明書は携帯させなくてもよい。,2
宅地建物取引業者Aが、BからB所有の土地付建物の売却の媒介を依頼され、媒介契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはどれか。,AB間で媒介契約が締結されたときは、Aは遅滞なく宅地建物取引業法第34条の2の規定に基づく媒介契約の内容を記載した書面を作成し、記名押印して、Bに交付しなければならない。,AB間の媒介契約が専任媒介契約である場合、Aは契約の相手方を探すため、当該物件につき必要な事項を、媒介契約締結の日から休業日数を除き7日以内（専属専任媒介契約の場合は5日以内）に指定流通機構に登録しなければならない。,Aが当該物件を売買すべき価額に対して意見を述べるときは、Bに対してその根拠を明らかにしなければならない。,AB間の媒介契約が専任媒介契約である場合、その有効期間の満了に際して、Bからの更新の申出がなくても、その有効期間を自動的に更新するためには、当該契約の締結時にあらかじめBの承諾を得ておかなければならない。,4
宅地建物取引業者Aが行う宅地又は建物の売買又は交換の媒介の契約（以下この問において「媒介契約」という。）に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,法第３４条の２に規定する依頼者（以下この問において「依頼者」という。）とは、宅地建物取引業者でない者をいい、同条の規定は、宅地建物取引業者相互間の媒介契約については適用されない。,Aが依頼者と専任媒介契約を締結したときは、Aは法第３４条の２に規定する契約内容を記載した書面を依頼者に交付しなければならないが、一般媒介契約を締結したときは、当該書面の交付をしなくてもよい。,専任媒介契約の有効期間は3月を超えることができず、3月より長い期間を定めたときは、その期間は3月とされるが、当該有効期間は、依頼者の申出があれば、更新の時から3月を超えない範囲で更新してもよい。,Aが依頼者に対して業務の処理状況を２０日に１回以上報告することを定めた専任媒介契約が締結された場合であっても、依頼者の同意が得られているのであるから、当該特約は無効とはならない。,3
宅地建物取引業者Aが、B所有の宅地の売却の媒介の依頼を受け、Bと専任媒介契約（以下この問において「媒介契約」という。）を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,Aは、媒介により、売買契約を成立させたが、Bから媒介報酬を受領するまでは、指定流通機構への当該契約成立の通知をしなくてもよい。,Bから指定流通機構には登録しなくてもよい旨の承諾を得ていれば、Aは当該宅地に関する所定の事項について、指定流通機構に登録しなくてもよい。,Aは契約の相手方を探索するため、当該宅地に関する所定の事項を媒介契約締結日から7日（休業日を含む。）以内に指定流通機構に登録する必要がある。,媒介契約の有効期間の満了に際して、BからAに更新の申出があった場合（その後の更新についても同様）、3月を限度として更新することができる。,4
宅地建物取引業者Aが、B所有の宅地の売却の媒介依頼を受け、Bと専任媒介契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,AがBに交付した媒介契約書が国土交通大臣が定めた標準媒介契約約款に基づかない書面である場合、その旨の表示をしなければ、Aは業務停止処分を受けることがある。,媒介契約の有効期間の満了に際し、BからAに更新の申出があった場合、Aは更新を拒むことはできない。,AがBに宅地の価額について意見を述べる際に、Bからその根拠を明らかにする旨の請求がなければ、Aはその根拠を明らかにする必要はない。,媒介契約の締結にあたって、業務処理状況を5日に1回報告するという特約は無効である。,1
宅地建物取引業者Aが、B所有の宅地の売却の媒介依頼を受け、Bと媒介契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。,Bの申出により、契約の有効期間を6月と定めた専任媒介契約を締結した場合、その契約はすべて無効である。,AB間で専属専任媒介契約を締結した場合、AはBに対し、当該契約の業務の処理状況を2週間に1回以上報告しなければならない。,AB間で専属専任媒介契約を締結した場合、Bは、Aが探索した相手方以外の者と売買契約を締結することができない。,,1
宅地建物取引業者Ａは、ＢからＢ所有の宅地の売却について媒介の依頼を受けた。この場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、誤っているものはどれか。,Ａは、Ｂとの間に媒介契約を締結したときは、当該契約が国土交通大臣が定める標準媒介契約約款に基づくものであるか否かの別を、法第34条の2第1項の規定に基づき交付すべき書面に記載しなければならない。,Ａは、Ｂとの間で媒介契約を締結し、Ｂに対して当該宅地を売却すべき価額又はその評価額について意見を述べるときは、その根拠を明らかにしなければならない。,Ａは、Ｂとの間に専属専任媒介契約を締結したときは、当該契約の締結の日から5日以内（休業日を除く。）に、所定の事項を当該宅地の所在地を含む地域を対象として登録業務を現に行っている指定流通機構に登録しなければならない。,Ａは、Ｂとの間で有効期間を2か月とする専任媒介契約を締結する際、「Ｂが媒介契約を更新する旨を申し出ない場合は、有効期間満了により自動更新するものとする」旨の特約を定めることができる。,4
宅地建物取引業者Ａが、Ｂから自己所有の宅地の売却の媒介を依頼された場合における当該媒介に係る契約に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。,Ａが、Ｂとの間に一般媒介契約（専任媒介契約でない媒介契約）を締結したときは、当該宅地に関する所定の事項を必ずしも指定流通機構へ登録しなくてもよいため、当該媒介契約の内容を記載した書面に、指定流通機構への登録に関する事項を記載する必要はない。,Ａが、Ｂとの間に専任媒介契約を締結し、当該宅地に関する所定の事項を指定流通機構に登録したときは、Ａは、遅滞なく、その旨を記載した書面を作成してＢに交付しなければならない。,Ａが、Ｂとの間に専任媒介契約を締結し、売買契約を成立させたときは、Ａは、遅滞なく、当該宅地の所在、取引価格、売買契約の成立した年月日を指定流通機構に通知しなければならない。,,4
宅地建物取引業者Ａが、Ｂ所有の甲宅地の売却の媒介を依頼され、Ｂと専任媒介契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,Ａは、甲宅地の所在、規模、形質、売買すべき価額のほかに、甲宅地の上に存する登記された権利の種類及び内容を指定流通機構に登録しなければならない。,ＡがＢに対して、甲宅地に関する所定の事項を指定流通機構に登録したことを証する書面を引き渡さなかったときは、Ａはそのことを理由として指示処分を受けることがある。,ＡがＢに対して、当該専任媒介契約に係る業務の処理状況を14日（ただし、Ａの休業日は含まない。）に１回報告するという特約は有効である。,Ａは、指定流通機構に登録した甲宅地について売買契約が成立し、かつ、甲宅地の引渡しが完了したときは、遅滞なく、その旨を当該指定流通機構に通知しなければならない。,2
宅地建物取引業者Ａが、Ｂから自己所有の宅地の売買を依頼された場合における当該媒介に係る契約に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,Ａは、Ｂとの間で専任媒介契約を締結したときは、宅建取引士に法第34条の２第１項の規定に基づき交付すべき書面の記載内容を確認させた上で、当該宅建取引士をして記名押印させなければならない。,Ａは、Ｂとの間で有効期間を２月とする専任媒介契約を締結した場合、Ｂの申出により契約を更新するときは、更新する媒介契約の有効期間は当初の有効期間を超えてはならない。,Ａは、Ｂとの間で一般媒介契約（専任媒介契約でない媒介契約）を締結する際、Ｂから媒介契約の有効期間を６月とする旨の申出があったとしても、当該媒介契約において３月を超える有効期間を定めてはならない。,Ａは、Ｂとの間で締結した媒介契約が一般媒介契約であるか、専任媒介契約であるかにかかわらず、宅地を売買すべき価額をＢに口頭で述べたとしても、法第34条の２第１項の規定に基づき交付すべき書面に当該価額を記載しなければならない。,4
宅地建物取引業者A社が、Bから自己所有の宅地の売買の媒介を依頼された場合における次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,A社は、Bとの間で締結した媒介契約が専任媒介契約であるか否かにかかわらず、所定の事項を指定流通機構に登録しなければならない。,A社は、Bとの間で専任媒介契約を締結したときは、Bからの申出があれば、所定の事項を指定流通機構に登録しない旨の特約を定めることができる。,A社は、Bとの間で専任媒介契約を締結し、所定の事項を指定流通機構に登録したときは、その登録を証する書面を遅滞なくBに引き渡さなければならない。,A社は、Bとの間で専任媒介契約を締結した場合、当該宅地の売買契約が成立したとしても、その旨を指定流通機構に通知する必要はない。,3
